date,time,open,high,low,close,volume
20221020,17:30:00,80.79,80.88,80.76,80.87,373
20221020,17:31:00,80.9,80.91,80.72,80.76,149
20221020,17:32:00,80.77,80.86,80.77,80.85,348
20221020,17:33:00,80.87,80.95,80.8,80.81,138
20221020,17:34:00,80.8,80.92,80.8,80.85,101
20221020,17:35:00,80.84,80.95,80.79,80.95,165
20221020,17:36:00,80.95,80.97,80.89,80.94,139
20221020,17:37:00,80.94,81.06,80.94,81.01,179
20221020,17:38:00,81.02,81.03,80.99,81.0,58
20221020,17:39:00,81.0,81.08,80.99,81.03,86
20221020,17:40:00,81.02,81.06,80.99,81.06,49
20221020,17:41:00,81.06,81.11,81.03,81.09,76
20221020,17:42:00,81.08,81.11,81.05,81.1,111
20221020,17:43:00,81.1,81.1,80.98,81.07,94
20221020,17:44:00,81.03,81.03,80.96,81.02,205
20221020,17:45:00,81.01,81.04,80.96,81.02,130
20221020,17:46:00,81.02,81.02,80.79,80.9,313
20221020,17:47:00,80.88,80.88,80.77,80.78,105
20221020,17:48:00,80.75,80.78,80.73,80.77,43
20221020,17:49:00,80.78,80.9,80.78,80.84,84
20221020,17:50:00,80.83,80.83,80.75,80.8,59
20221020,17:51:00,80.8,80.95,80.8,80.93,209
20221020,17:52:00,80.94,81.04,80.94,80.94,80
20221020,17:53:00,80.94,81.01,80.91,80.93,82
20221020,17:54:00,80.91,81.0,80.9,80.91,91
20221020,17:55:00,80.9,80.93,80.88,80.91,323
20221020,17:56:00,80.9,80.94,80.76,80.76,510
20221020,17:57:00,80.76,80.79,80.46,80.52,195
20221020,17:58:00,80.52,80.63,80.47,80.61,127
20221020,17:59:00,80.55,80.55,80.46,80.47,94
20221020,18:00:00,80.49,80.53,80.0,80.31,762
20221020,18:01:00,80.31,80.32,80.05,80.19,434
20221020,18:02:00,80.18,80.18,80.01,80.01,112
20221020,18:03:00,80.01,80.19,79.99,80.19,269
20221020,18:04:00,80.17,80.22,80.13,80.13,139
20221020,18:05:00,80.14,80.2,80.09,80.13,193
20221020,18:06:00,80.13,80.14,80.01,80.04,61
20221020,18:07:00,80.02,80.02,79.87,79.92,124
20221020,18:08:00,79.93,79.95,79.75,79.81,110
20221020,18:09:00,79.81,79.84,79.77,79.8,82
20221020,18:10:00,79.79,79.82,79.68,79.82,184
20221020,18:11:00,79.82,79.82,79.63,79.64,109
20221020,18:12:00,79.62,79.65,79.42,79.42,206
20221020,18:13:00,79.43,79.48,79.0,79.39,1113
20221020,18:14:00,79.38,79.4,79.28,79.29,588
20221020,18:15:00,79.3,79.34,79.25,79.31,310
20221020,18:16:00,79.31,79.53,79.3,79.52,616
