date,time,open,high,low,close,volume
20221020,17:30:00,86.88,87.07,86.87,87.03,24
20221020,17:31:00,86.97,86.97,86.96,86.96,4
20221020,17:32:00,86.97,86.98,86.92,86.92,65
20221020,17:33:00,86.91,87.1,86.9,86.94,127
20221020,17:34:00,86.99,86.99,86.99,86.99,1
20221020,17:35:00,87.03,87.12,86.96,87.12,9
20221020,17:36:00,87.1,87.2,87.1,87.18,6
20221020,17:37:00,87.22,87.27,87.2,87.24,9
20221020,17:38:00,87.27,87.27,87.22,87.23,2
20221020,17:39:00,87.22,87.27,87.21,87.24,8
20221020,17:40:00,87.25,87.25,87.25,87.25,5
20221020,17:41:00,87.28,87.38,87.28,87.38,6
20221020,17:42:00,87.36,87.36,87.36,87.36,1
20221020,17:43:00,87.4,87.46,87.4,87.41,33
20221020,17:44:00,87.4,87.4,87.28,87.28,12
20221020,17:45:00,87.28,87.28,87.28,87.28,1
20221020,17:46:00,87.26,87.28,87.16,87.17,20
20221020,17:47:00,87.21,87.21,87.15,87.15,6
20221020,17:48:00,87.11,87.13,87.11,87.12,6
20221020,17:49:00,87.12,87.33,87.12,87.33,12
20221020,17:50:00,87.26,87.26,87.26,87.26,3
20221020,17:51:00,87.37,87.43,87.37,87.37,9
20221020,17:52:00,87.37,87.37,87.37,87.37,0
20221020,17:53:00,87.37,87.43,87.36,87.36,18
20221020,17:54:00,87.36,87.37,87.27,87.27,21
20221020,17:55:00,87.27,87.29,87.18,87.27,21
20221020,17:56:00,87.28,87.29,87.14,87.14,8
20221020,17:57:00,87.08,87.1,86.93,87.04,36
20221020,17:58:00,86.97,86.97,86.88,86.88,3
20221020,17:59:00,86.87,86.92,86.83,86.92,113
20221020,18:00:00,86.89,86.9,86.89,86.89,5
20221020,18:01:00,86.92,86.93,86.71,86.78,91
20221020,18:02:00,86.75,86.75,86.6,86.63,14
20221020,18:03:00,86.58,86.71,86.58,86.71,11
20221020,18:04:00,86.7,86.7,86.59,86.59,8
20221020,18:05:00,86.6,86.62,86.51,86.58,10
20221020,18:06:00,86.58,86.58,86.55,86.56,6
20221020,18:07:00,86.51,86.56,86.41,86.42,10
20221020,18:08:00,86.44,86.48,86.32,86.48,38
20221020,18:09:00,86.44,86.44,86.37,86.37,4
20221020,18:10:00,86.41,86.47,86.41,86.47,9
20221020,18:11:00,86.45,86.52,86.45,86.52,13
20221020,18:12:00,86.52,86.52,86.51,86.52,1
20221020,18:13:00,86.35,86.39,86.34,86.39,24
20221020,18:14:00,86.4,86.4,86.35,86.35,4
20221020,18:15:00,86.28,86.39,86.28,86.39,17
20221020,18:16:00,86.42,86.44,86.32,86.44,10
20221020,18:17:00,86.48,86.53,86.47,86.47,7
20221020,18:18:00,86.44,86.45,86.38,86.4,13
20221020,18:19:00,86.35,86.41,86.35,86.41,2
20221020,18:20:00,86.29,86.35,86.2,86.2,16
20221020,18:21:00,86.2,86.2,86.04,86.11,16
20221020,18:22:00,86.0,86.21,86.0,86.21,6
20221020,18:23:00,86.18,86.18,86.11,86.11,2
20221020,18:24:00,86.11,86.11,86.11,86.11,0
20221020,18:25:00,86.01,86.01,86.01,86.01,1
20221020,18:26:00,86.0,86.02,85.97,85.97,21
20221020,18:27:00,85.91,85.91,85.83,85.91,8
20221020,18:28:00,85.87,85.93,85.84,85.87,31
20221020,18:29:00,85.92,85.92,85.91,85.92,8
20221020,18:30:00,85.84,85.84,85.84,85.84,2
20221020,18:31:00,85.94,85.97,85.94,85.94,4
20221020,18:32:00,85.97,85.97,85.92,85.95,8
20221020,18:33:00,85.95,86.02,85.95,86.02,22
20221020,18:34:00,85.99,86.0,85.94,85.95,13
20221020,18:35:00,85.99,86.0,85.92,86.0,13
20221020,18:36:00,85.96,86.04,85.95,86.03,22
20221020,18:37:00,86.0,86.09,86.0,86.09,6
20221020,18:38:00,86.08,86.08,85.94,85.95,9
20221020,18:39:00,85.95,85.98,85.94,85.98,5
20221020,18:40:00,85.97,86.0,85.94,86.0,23
20221020,18:41:00,86.0,86.01,85.98,86.01,3
20221020,18:42:00,86.01,86.01,86.01,86.01,0
20221020,18:43:00,86.06,86.07,85.93,85.95,30
20221020,18:44:00,86.0,86.06,85.95,86.02,40
20221020,18:45:00,85.98,86.0,85.85,85.86,27
20221020,18:46:00,85.85,85.85,85.79,85.8,7
20221020,18:47:00,85.74,85.74,85.59,85.61,15
20221020,18:48:00,85.61,85.63,85.58,85.63,10
20221020,18:49:00,85.66,85.77,85.63,85.77,12
20221020,18:50:00,85.79,85.79,85.75,85.75,7
20221020,18:51:00,85.73,85.73,85.64,85.64,9
20221020,18:52:00,85.67,85.68,85.57,85.57,4
20221020,18:53:00,85.55,85.55,85.46,85.46,16
20221020,18:54:00,85.44,85.49,85.38,85.47,24
20221020,18:55:00,85.5,85.5,85.44,85.44,14
20221020,18:56:00,85.47,85.6,85.45,85.59,17
20221020,18:57:00,85.61,85.61,85.59,85.6,7
20221020,18:58:00,85.56,85.58,85.55,85.55,5
20221020,18:59:00,85.52,85.58,85.51,85.53,7
20221020,19:00:00,85.53,85.55,85.51,85.55,4
20221020,19:01:00,85.53,85.54,85.43,85.54,13
20221020,19:02:00,85.51,85.56,85.51,85.55,5
20221020,19:03:00,85.58,85.7,85.58,85.7,9
20221020,19:04:00,85.65,85.65,85.65,85.65,3
20221020,19:05:00,85.59,85.59,85.48,85.48,6
20221020,19:06:00,85.45,85.46,85.25,85.25,24
20221020,19:07:00,85.2,85.22,85.06,85.13,47
20221020,19:08:00,85.14,85.15,85.1,85.1,17
20221020,19:09:00,85.1,85.19,85.1,85.19,7
20221020,19:10:00,85.1,85.13,85.1,85.13,4
20221020,19:11:00,85.16,85.38,85.15,85.32,26
20221020,19:12:00,85.29,85.29,85.29,85.29,1
20221020,19:13:00,85.28,85.28,85.21,85.21,3
20221020,19:14:00,85.19,85.19,85.14,85.14,9
20221020,19:15:00,85.12,85.12,85.07,85.07,2
20221020,19:16:00,85.02,85.15,85.01,85.13,19
20221020,19:17:00,85.09,85.17,85.07,85.07,8
20221020,19:18:00,85.04,85.08,85.02,85.02,4
20221020,19:19:00,85.02,85.02,85.02,85.02,0
20221020,19:20:00,85.06,85.06,84.98,84.98,9
20221020,19:21:00,85.05,85.13,85.01,85.13,14
20221020,19:22:00,85.25,85.39,85.24,85.34,34
20221020,19:23:00,85.35,85.35,85.29,85.35,72
20221020,19:24:00,85.3,85.33,85.25,85.27,19
20221020,19:25:00,85.24,85.46,85.24,85.38,22
20221020,19:26:00,85.38,85.39,85.24,85.32,27
20221020,19:27:00,85.32,85.41,85.32,85.35,23
20221020,19:28:00,85.43,85.45,85.37,85.37,10
20221020,19:29:00,85.32,85.32,85.3,85.3,5
20221020,19:30:00,85.28,85.28,85.18,85.19,7
