date,time,open,high,low,close,volume
20221020,17:30:00,66.6,66.6,66.54,66.58,17
20221020,17:31:00,66.59,66.59,66.55,66.56,23
20221020,17:32:00,66.58,66.58,66.53,66.53,28
20221020,17:33:00,66.55,66.57,66.42,66.42,14
20221020,17:34:00,66.42,66.45,66.4,66.4,20
20221020,17:35:00,66.38,66.45,66.38,66.45,27
20221020,17:36:00,66.45,66.48,66.34,66.34,68
20221020,17:37:00,66.37,66.39,66.29,66.38,36
20221020,17:38:00,66.38,66.39,66.34,66.39,11
20221020,17:39:00,66.39,66.39,66.32,66.32,13
20221020,17:40:00,66.34,66.38,66.32,66.32,21
20221020,17:41:00,66.36,66.44,66.36,66.38,17
20221020,17:42:00,66.33,66.34,66.23,66.23,16
20221020,17:43:00,66.2,66.25,66.17,66.22,39
20221020,17:44:00,66.22,66.22,66.08,66.09,33
20221020,17:45:00,66.09,66.11,66.06,66.1,37
20221020,17:46:00,66.09,66.11,66.03,66.06,78
20221020,17:47:00,66.05,66.21,66.03,66.21,90
20221020,17:48:00,66.19,66.24,66.05,66.06,277
20221020,17:49:00,66.06,66.12,65.91,65.91,152
20221020,17:50:00,65.94,66.02,65.91,66.01,41
20221020,17:51:00,66.01,66.04,65.96,65.96,63
20221020,17:52:00,65.96,66.03,65.96,65.96,68
20221020,17:53:00,66.0,66.0,65.85,65.85,44
20221020,17:54:00,65.84,65.95,65.84,65.88,46
20221020,17:55:00,65.89,65.9,65.82,65.9,44
20221020,17:56:00,65.9,66.0,65.87,65.88,77
20221020,17:57:00,65.88,65.91,65.72,65.72,66
20221020,17:58:00,65.75,65.86,65.75,65.8,22
20221020,17:59:00,65.78,65.81,65.75,65.81,66
20221020,18:00:00,65.8,65.86,65.8,65.84,51
20221020,18:01:00,65.77,65.83,65.72,65.81,122
20221020,18:02:00,65.84,65.87,65.82,65.86,13
20221020,18:03:00,65.86,66.0,65.85,65.96,42
20221020,18:04:00,65.97,66.03,65.97,66.03,6
20221020,18:05:00,66.02,66.12,66.02,66.09,20
20221020,18:06:00,66.06,66.08,66.05,66.08,10
20221020,18:07:00,66.05,66.05,65.95,65.97,56
20221020,18:08:00,65.94,65.94,65.88,65.91,20
20221020,18:09:00,65.99,65.99,65.95,65.95,11
20221020,18:10:00,65.96,65.97,65.9,65.97,21
20221020,18:11:00,65.98,65.98,65.94,65.94,7
20221020,18:12:00,65.96,65.96,65.78,65.82,30
20221020,18:13:00,65.84,65.85,65.82,65.85,6
20221020,18:14:00,65.84,65.84,65.84,65.84,6
20221020,18:15:00,65.84,65.9,65.81,65.9,12
20221020,18:16:00,65.9,65.97,65.88,65.95,62
20221020,18:17:00,65.96,66.0,65.96,66.0,21
20221020,18:18:00,66.02,66.02,65.96,65.97,44
20221020,18:19:00,65.98,65.98,65.92,65.94,56
20221020,18:20:00,65.93,65.93,65.8,65.81,39
20221020,18:21:00,65.8,65.88,65.77,65.82,96
20221020,18:22:00,65.81,65.91,65.81,65.89,90
20221020,18:23:00,65.86,65.87,65.86,65.87,3
20221020,18:24:00,65.87,65.87,65.76,65.76,8
20221020,18:25:00,65.76,65.86,65.72,65.83,47
20221020,18:26:00,65.81,65.84,65.8,65.81,19
20221020,18:27:00,65.73,65.77,65.71,65.75,47
20221020,18:28:00,65.74,65.79,65.74,65.79,49
20221020,18:29:00,65.74,65.88,65.74,65.88,55
20221020,18:30:00,65.88,65.93,65.85,65.92,94
20221020,18:31:00,65.9,65.9,65.9,65.9,1
20221020,18:32:00,65.88,65.93,65.87,65.91,26
20221020,18:33:00,65.9,65.94,65.88,65.92,66
20221020,18:34:00,65.9,65.9,65.83,65.84,50
20221020,18:35:00,65.84,65.9,65.83,65.9,51
20221020,18:36:00,65.88,65.89,65.82,65.85,41
20221020,18:37:00,65.81,65.81,65.72,65.79,71
20221020,18:38:00,65.8,65.81,65.76,65.78,20
20221020,18:39:00,65.76,65.81,65.75,65.8,26
20221020,18:40:00,65.77,65.81,65.77,65.81,8
20221020,18:41:00,65.79,65.84,65.79,65.81,25
20221020,18:42:00,65.77,65.81,65.73,65.81,66
20221020,18:43:00,65.78,65.79,65.67,65.67,65
20221020,18:44:00,65.68,65.73,65.67,65.67,25
20221020,18:45:00,65.65,65.65,65.6,65.62,16
20221020,18:46:00,65.61,65.61,65.55,65.6,14
20221020,18:47:00,65.57,65.57,65.53,65.53,32
20221020,18:48:00,65.52,65.53,65.51,65.53,21
20221020,18:49:00,65.55,65.6,65.55,65.58,56
20221020,18:50:00,65.59,65.62,65.57,65.6,39
20221020,18:51:00,65.62,65.63,65.59,65.61,15
20221020,18:52:00,65.62,65.62,65.55,65.58,46
20221020,18:53:00,65.56,65.57,65.48,65.5,32
20221020,18:54:00,65.49,65.53,65.49,65.51,107
20221020,18:55:00,65.5,65.51,65.5,65.51,7
20221020,18:56:00,65.51,65.55,65.49,65.54,28
20221020,18:57:00,65.56,65.58,65.54,65.57,17
20221020,18:58:00,65.54,65.56,65.53,65.53,12
20221020,18:59:00,65.53,65.57,65.53,65.57,26
20221020,19:00:00,65.58,65.68,65.58,65.67,19
20221020,19:01:00,65.69,65.69,65.6,65.6,48
20221020,19:02:00,65.59,65.59,65.51,65.52,33
20221020,19:03:00,65.55,65.58,65.47,65.47,26
20221020,19:04:00,65.48,65.49,65.42,65.43,22
20221020,19:05:00,65.41,65.44,65.3,65.31,45
20221020,19:06:00,65.33,65.34,65.24,65.25,64
20221020,19:07:00,65.26,65.28,65.22,65.23,201
20221020,19:08:00,65.24,65.27,65.23,65.23,14
20221020,19:09:00,65.25,65.29,65.25,65.29,5
20221020,19:10:00,65.25,65.3,65.24,65.3,11
20221020,19:11:00,65.32,65.41,65.32,65.41,12
20221020,19:12:00,65.38,65.38,65.32,65.32,13
20221020,19:13:00,65.35,65.35,65.29,65.3,12
20221020,19:14:00,65.29,65.29,65.28,65.28,2
20221020,19:15:00,65.3,65.3,65.13,65.16,103
20221020,19:16:00,65.14,65.17,65.13,65.17,54
20221020,19:17:00,65.17,65.17,65.06,65.06,21
20221020,19:18:00,65.04,65.06,65.01,65.04,69
20221020,19:19:00,65.04,65.07,65.01,65.01,22
20221020,19:20:00,65.03,65.03,65.0,65.0,43
20221020,19:21:00,65.0,65.03,64.92,65.02,51
20221020,19:22:00,65.02,65.11,65.02,65.11,22
20221020,19:23:00,65.09,65.11,65.02,65.02,24
20221020,19:24:00,65.07,65.07,65.03,65.03,11
20221020,19:25:00,65.05,65.08,65.03,65.06,32
20221020,19:26:00,65.06,65.1,65.03,65.1,16
20221020,19:27:00,65.1,65.14,65.08,65.14,22
20221020,19:28:00,65.11,65.17,65.07,65.07,26
20221020,19:29:00,65.06,65.14,65.03,65.11,13
20221020,19:30:00,65.09,65.09,65.05,65.07,11
20221020,19:31:00,65.06,65.12,65.04,65.1,35
20221020,19:32:00,65.1,65.1,65.05,65.06,12
20221020,19:33:00,65.07,65.08,65.03,65.05,17
20221020,19:34:00,65.03,65.03,65.03,65.03,4
20221020,19:35:00,65.03,65.04,65.02,65.03,13
20221020,19:36:00,65.04,65.07,65.04,65.06,26
20221020,19:37:00,65.05,65.05,64.98,65.02,120
20221020,19:38:00,64.99,65.01,64.99,65.0,13
20221020,19:39:00,65.0,65.04,64.99,65.04,53
20221020,19:40:00,65.07,65.08,65.05,65.06,16
20221020,19:41:00,65.04,65.07,65.03,65.03,15
20221020,19:42:00,65.0,65.01,64.98,64.99,130
20221020,19:43:00,65.02,65.08,65.02,65.06,17
20221020,19:44:00,65.06,65.06,65.04,65.04,5
20221020,19:45:00,65.04,65.07,65.04,65.06,7
20221020,19:46:00,65.06,65.09,65.02,65.02,31
20221020,19:47:00,65.0,65.01,64.84,64.84,13
20221020,19:48:00,64.83,64.85,64.7,64.7,23
20221020,19:49:00,64.67,64.68,64.57,64.61,37
20221020,19:50:00,64.55,64.59,64.5,64.5,29
20221020,19:51:00,64.51,64.56,64.5,64.51,31
20221020,19:52:00,64.52,64.52,64.5,64.5,5
20221020,19:53:00,64.52,64.53,64.49,64.5,26
20221020,19:54:00,64.52,64.54,64.5,64.52,36
20221020,19:55:00,64.5,64.55,64.47,64.55,162
20221020,19:56:00,64.53,64.59,64.5,64.58,49
20221020,19:57:00,64.58,64.64,64.57,64.64,23
20221020,19:58:00,64.64,64.66,64.6,64.6,24
20221020,19:59:00,64.63,64.69,64.62,64.64,50
20221020,20:00:00,64.6,64.63,64.59,64.59,17
20221020,20:01:00,64.57,64.61,64.57,64.61,8
20221020,20:02:00,64.64,64.73,64.64,64.73,31
20221020,20:03:00,64.72,64.72,64.65,64.65,20
20221020,20:04:00,64.6,64.62,64.58,64.62,17
20221020,20:05:00,64.61,64.62,64.6,64.62,7
20221020,20:06:00,64.66,64.67,64.62,64.62,32
