date,time,open,high,low,close,volume
20221020,17:30:00,43.45,43.48,43.43,43.47,315
20221020,17:31:00,43.48,43.49,43.45,43.46,647
20221020,17:32:00,43.46,43.49,43.46,43.48,166
20221020,17:33:00,43.49,43.5,43.41,43.42,185
20221020,17:34:00,43.43,43.46,43.42,43.44,174
20221020,17:35:00,43.44,43.5,43.43,43.49,237
20221020,17:36:00,43.5,43.51,43.47,43.49,176
20221020,17:37:00,43.49,43.51,43.46,43.51,301
20221020,17:38:00,43.5,43.52,43.49,43.5,252
20221020,17:39:00,43.51,43.54,43.5,43.51,176
20221020,17:40:00,43.52,43.53,43.5,43.52,181
20221020,17:41:00,43.53,43.56,43.53,43.55,223
20221020,17:42:00,43.55,43.55,43.52,43.52,109
20221020,17:43:00,43.53,43.54,43.49,43.53,311
20221020,17:44:00,43.52,43.53,43.48,43.49,207
20221020,17:45:00,43.49,43.49,43.46,43.47,41
20221020,17:46:00,43.47,43.48,43.46,43.46,95
20221020,17:47:00,43.47,43.51,43.45,43.5,138
20221020,17:48:00,43.5,43.51,43.47,43.48,172
20221020,17:49:00,43.47,43.5,43.47,43.48,129
20221020,17:50:00,43.48,43.5,43.46,43.5,211
20221020,17:51:00,43.5,43.52,43.49,43.52,98
20221020,17:52:00,43.51,43.52,43.49,43.5,80
20221020,17:53:00,43.5,43.51,43.47,43.48,358
20221020,17:54:00,43.47,43.47,43.43,43.44,106
20221020,17:55:00,43.44,43.46,43.42,43.46,221
20221020,17:56:00,43.46,43.48,43.43,43.45,154
20221020,17:57:00,43.45,43.46,43.35,43.36,308
20221020,17:58:00,43.37,43.38,43.34,43.37,276
20221020,17:59:00,43.38,43.38,43.35,43.37,94
20221020,18:00:00,43.37,43.4,43.32,43.33,721
20221020,18:01:00,43.33,43.34,43.24,43.27,593
20221020,18:02:00,43.27,43.27,43.22,43.23,193
20221020,18:03:00,43.24,43.28,43.23,43.25,208
20221020,18:04:00,43.24,43.25,43.22,43.25,93
20221020,18:05:00,43.24,43.25,43.22,43.25,187
20221020,18:06:00,43.24,43.28,43.22,43.27,348
20221020,18:07:00,43.28,43.28,43.21,43.22,342
20221020,18:08:00,43.21,43.21,43.16,43.2,553
20221020,18:09:00,43.2,43.21,43.18,43.2,352
20221020,18:10:00,43.2,43.22,43.17,43.22,271
20221020,18:11:00,43.22,43.23,43.19,43.21,222
20221020,18:12:00,43.21,43.23,43.18,43.19,430
20221020,18:13:00,43.19,43.21,43.16,43.21,542
20221020,18:14:00,43.21,43.22,43.19,43.21,172
20221020,18:15:00,43.2,43.23,43.18,43.23,166
20221020,18:16:00,43.22,43.25,43.21,43.24,125
20221020,18:17:00,43.23,43.26,43.23,43.25,172
20221020,18:18:00,43.25,43.27,43.24,43.26,240
20221020,18:19:00,43.26,43.28,43.24,43.27,210
20221020,18:20:00,43.27,43.27,43.21,43.22,225
20221020,18:21:00,43.22,43.23,43.18,43.19,238
20221020,18:22:00,43.18,43.27,43.18,43.27,340
20221020,18:23:00,43.26,43.26,43.21,43.23,124
20221020,18:24:00,43.23,43.25,43.21,43.22,90
20221020,18:25:00,43.22,43.22,43.19,43.21,259
20221020,18:26:00,43.21,43.25,43.2,43.21,262
20221020,18:27:00,43.22,43.22,43.16,43.16,231
20221020,18:28:00,43.17,43.17,43.12,43.13,512
20221020,18:29:00,43.14,43.19,43.13,43.17,172
20221020,18:30:00,43.16,43.17,43.14,43.15,244
20221020,18:31:00,43.15,43.21,43.13,43.2,225
20221020,18:32:00,43.2,43.21,43.18,43.19,71
20221020,18:33:00,43.2,43.23,43.19,43.21,158
20221020,18:34:00,43.21,43.21,43.16,43.18,140
20221020,18:35:00,43.18,43.2,43.16,43.19,138
20221020,18:36:00,43.18,43.18,43.15,43.18,125
20221020,18:37:00,43.16,43.19,43.15,43.16,178
20221020,18:38:00,43.17,43.17,43.11,43.11,459
20221020,18:39:00,43.1,43.15,43.1,43.13,157
20221020,18:40:00,43.12,43.14,43.1,43.14,156
20221020,18:41:00,43.14,43.17,43.13,43.15,141
20221020,18:42:00,43.15,43.16,43.14,43.14,45
20221020,18:43:00,43.14,43.14,43.1,43.1,186
20221020,18:44:00,43.11,43.12,43.07,43.09,405
20221020,18:45:00,43.09,43.09,43.04,43.04,258
20221020,18:46:00,43.03,43.05,43.02,43.02,230
20221020,18:47:00,43.02,43.03,43.0,43.01,409
20221020,18:48:00,43.01,43.03,43.0,43.02,154
