date,time,open,high,low,close,volume
20221020,17:30:00,28.69,28.72,28.69,28.72,16
20221020,17:31:00,28.73,28.73,28.7,28.71,5
20221020,17:32:00,28.71,28.72,28.7,28.72,8
20221020,17:33:00,28.73,28.75,28.71,28.71,11
20221020,17:34:00,28.72,28.73,28.72,28.73,3
20221020,17:35:00,28.73,28.76,28.72,28.76,17
20221020,17:36:00,28.77,28.81,28.77,28.8,17
20221020,17:37:00,28.82,28.82,28.81,28.81,7
20221020,17:38:00,28.83,28.84,28.83,28.84,3
20221020,17:39:00,28.84,28.85,28.82,28.84,14
20221020,17:40:00,28.84,28.84,28.82,28.83,4
20221020,17:41:00,28.83,28.84,28.83,28.84,5
20221020,17:42:00,28.84,28.85,28.84,28.84,9
20221020,17:43:00,28.83,28.83,28.79,28.83,17
20221020,17:44:00,28.82,28.83,28.82,28.83,9
20221020,17:45:00,28.83,28.83,28.82,28.83,2
20221020,17:46:00,28.8,28.81,28.74,28.74,14
20221020,17:47:00,28.75,28.77,28.74,28.77,13
20221020,17:48:00,28.77,28.78,28.76,28.77,9
20221020,17:49:00,28.77,28.79,28.77,28.78,9
20221020,17:50:00,28.79,28.8,28.76,28.79,11
20221020,17:51:00,28.79,28.81,28.79,28.81,7
20221020,17:52:00,28.81,28.82,28.79,28.8,14
20221020,17:53:00,28.8,28.81,28.76,28.78,13
20221020,17:54:00,28.77,28.77,28.77,28.77,6
20221020,17:55:00,28.76,28.77,28.72,28.75,8
20221020,17:56:00,28.75,28.76,28.74,28.75,22
20221020,17:57:00,28.74,28.74,28.69,28.69,16
20221020,17:58:00,28.7,28.71,28.68,28.7,9
20221020,17:59:00,28.69,28.69,28.66,28.66,6
20221020,18:00:00,28.69,28.71,28.69,28.7,8
20221020,18:01:00,28.68,28.69,28.62,28.65,36
20221020,18:02:00,28.65,28.65,28.58,28.63,86
20221020,18:03:00,28.63,28.68,28.62,28.68,35
20221020,18:04:00,28.68,28.68,28.68,28.68,2
20221020,18:05:00,28.69,28.69,28.62,28.69,83
20221020,18:06:00,28.68,28.68,28.68,28.68,2
20221020,18:07:00,28.66,28.66,28.62,28.62,9
20221020,18:08:00,28.61,28.61,28.59,28.59,2
20221020,18:09:00,28.59,28.61,28.59,28.61,3
20221020,18:10:00,28.6,28.63,28.6,28.63,13
20221020,18:11:00,28.62,28.64,28.62,28.64,5
20221020,18:12:00,28.63,28.64,28.63,28.64,6
20221020,18:13:00,28.62,28.63,28.58,28.62,14
20221020,18:14:00,28.61,28.64,28.61,28.64,5
20221020,18:15:00,28.63,28.65,28.63,28.63,9
20221020,18:16:00,28.64,28.66,28.64,28.66,14
