date,time,open,high,low,close,volume
20221020,17:30:00,13.85,13.9,13.84,13.9,257
20221020,17:31:00,13.89,13.9,13.87,13.9,172
20221020,17:32:00,13.89,13.9,13.88,13.9,127
20221020,17:33:00,13.9,13.91,13.87,13.88,679
20221020,17:34:00,13.89,13.9,13.88,13.88,96
20221020,17:35:00,13.88,13.9,13.87,13.9,201
20221020,17:36:00,13.9,13.91,13.89,13.91,214
20221020,17:37:00,13.91,13.92,13.9,13.92,221
20221020,17:38:00,13.92,13.93,13.89,13.9,392
20221020,17:39:00,13.9,13.9,13.88,13.88,198
20221020,17:40:00,13.88,13.9,13.87,13.9,119
20221020,17:41:00,13.9,13.93,13.89,13.92,416
20221020,17:42:00,13.91,13.91,13.89,13.91,170
20221020,17:43:00,13.9,13.91,13.88,13.88,169
20221020,17:44:00,13.89,13.89,13.86,13.88,92
20221020,17:45:00,13.88,13.88,13.85,13.86,141
20221020,17:46:00,13.85,13.86,13.82,13.83,142
20221020,17:47:00,13.82,13.86,13.82,13.85,136
20221020,17:48:00,13.85,13.86,13.81,13.84,450
20221020,17:49:00,13.83,13.85,13.82,13.83,1071
20221020,17:50:00,13.83,13.84,13.81,13.82,709
20221020,17:51:00,13.82,13.85,13.81,13.84,480
20221020,17:52:00,13.85,13.87,13.83,13.86,102
20221020,17:53:00,13.86,13.87,13.84,13.85,72
20221020,17:54:00,13.84,13.85,13.83,13.83,87
20221020,17:55:00,13.84,13.84,13.81,13.84,107
20221020,17:56:00,13.85,13.86,13.83,13.83,88
20221020,17:57:00,13.83,13.83,13.77,13.78,101
20221020,17:58:00,13.77,13.78,13.75,13.76,140
20221020,17:59:00,13.77,13.77,13.74,13.75,147
20221020,18:00:00,13.74,13.79,13.74,13.76,284
20221020,18:01:00,13.76,13.76,13.71,13.74,105
20221020,18:02:00,13.73,13.73,13.71,13.73,44
20221020,18:03:00,13.72,13.74,13.69,13.7,898
20221020,18:04:00,13.7,13.71,13.67,13.69,102
20221020,18:05:00,13.69,13.69,13.67,13.69,96
20221020,18:06:00,13.69,13.69,13.67,13.67,140
20221020,18:07:00,13.67,13.67,13.62,13.63,252
20221020,18:08:00,13.63,13.64,13.61,13.63,197
20221020,18:09:00,13.63,13.65,13.62,13.65,168
20221020,18:10:00,13.65,13.67,13.64,13.67,358
20221020,18:11:00,13.67,13.68,13.67,13.68,272
20221020,18:12:00,13.68,13.69,13.67,13.68,178
20221020,18:13:00,13.68,13.68,13.65,13.66,176
20221020,18:14:00,13.67,13.67,13.65,13.66,123
20221020,18:15:00,13.66,13.7,13.65,13.69,147
20221020,18:16:00,13.69,13.72,13.69,13.72,261
20221020,18:17:00,13.72,13.74,13.72,13.72,84
20221020,18:18:00,13.72,13.73,13.69,13.7,395
20221020,18:19:00,13.69,13.7,13.68,13.69,84
20221020,18:20:00,13.68,13.69,13.64,13.64,67
20221020,18:21:00,13.64,13.64,13.61,13.62,169
20221020,18:22:00,13.62,13.65,13.6,13.65,500
20221020,18:23:00,13.65,13.65,13.63,13.63,137
20221020,18:24:00,13.63,13.64,13.62,13.63,74
20221020,18:25:00,13.62,13.62,13.61,13.61,97
20221020,18:26:00,13.61,13.62,13.6,13.61,148
20221020,18:27:00,13.6,13.61,13.59,13.6,211
20221020,18:28:00,13.59,13.62,13.58,13.6,307
20221020,18:29:00,13.6,13.61,13.59,13.59,72
20221020,18:30:00,13.59,13.6,13.58,13.59,136
20221020,18:31:00,13.59,13.61,13.58,13.6,238
20221020,18:32:00,13.6,13.61,13.59,13.59,33
20221020,18:33:00,13.6,13.61,13.58,13.59,264
20221020,18:34:00,13.58,13.59,13.57,13.58,81
20221020,18:35:00,13.58,13.59,13.57,13.58,141
20221020,18:36:00,13.58,13.59,13.57,13.58,106
20221020,18:37:00,13.58,13.58,13.57,13.58,28
20221020,18:38:00,13.57,13.57,13.55,13.56,122
20221020,18:39:00,13.56,13.57,13.55,13.55,79
20221020,18:40:00,13.56,13.57,13.55,13.57,30
20221020,18:41:00,13.57,13.58,13.56,13.58,159
20221020,18:42:00,13.58,13.58,13.56,13.57,58
20221020,18:43:00,13.57,13.58,13.55,13.56,310
20221020,18:44:00,13.56,13.56,13.55,13.56,130
20221020,18:45:00,13.55,13.55,13.51,13.52,418
20221020,18:46:00,13.52,13.52,13.49,13.5,149
20221020,18:47:00,13.5,13.5,13.48,13.49,141
20221020,18:48:00,13.49,13.5,13.48,13.49,22
20221020,18:49:00,13.49,13.51,13.49,13.5,110
20221020,18:50:00,13.5,13.5,13.49,13.5,31
20221020,18:51:00,13.5,13.5,13.49,13.5,78
20221020,18:52:00,13.5,13.51,13.49,13.5,173
20221020,18:53:00,13.5,13.5,13.46,13.46,150
20221020,18:54:00,13.45,13.47,13.45,13.46,53
20221020,18:55:00,13.46,13.47,13.45,13.45,41
20221020,18:56:00,13.45,13.47,13.45,13.46,196
20221020,18:57:00,13.47,13.48,13.47,13.48,79
20221020,18:58:00,13.47,13.49,13.47,13.48,85
20221020,18:59:00,13.47,13.49,13.46,13.49,40
20221020,19:00:00,13.49,13.5,13.48,13.49,273
