date,time,open,high,low,close,volume
20221020,17:30:00,24.28,24.29,24.27,24.29,183
20221020,17:31:00,24.29,24.33,24.29,24.32,125
20221020,17:32:00,24.32,24.38,24.32,24.38,159
20221020,17:33:00,24.39,24.4,24.36,24.37,82
20221020,17:34:00,24.37,24.39,24.37,24.38,46
20221020,17:35:00,24.39,24.43,24.39,24.42,55
20221020,17:36:00,24.41,24.43,24.41,24.43,106
20221020,17:37:00,24.43,24.48,24.43,24.47,48
20221020,17:38:00,24.47,24.48,24.46,24.47,34
20221020,17:39:00,24.47,24.49,24.47,24.48,76
20221020,17:40:00,24.48,24.48,24.46,24.46,84
20221020,17:41:00,24.46,24.46,24.44,24.46,60
20221020,17:42:00,24.45,24.46,24.43,24.43,47
20221020,17:43:00,24.43,24.44,24.43,24.43,28
20221020,17:44:00,24.43,24.44,24.43,24.43,23
20221020,17:45:00,24.43,24.44,24.42,24.44,71
20221020,17:46:00,24.45,24.45,24.44,24.45,41
20221020,17:47:00,24.44,24.45,24.43,24.44,24
20221020,17:48:00,24.44,24.45,24.43,24.44,43
20221020,17:49:00,24.44,24.45,24.43,24.45,33
20221020,17:50:00,24.45,24.46,24.44,24.45,47
20221020,17:51:00,24.45,24.45,24.44,24.45,12
20221020,17:52:00,24.45,24.45,24.43,24.44,84
20221020,17:53:00,24.45,24.46,24.43,24.45,123
20221020,17:54:00,24.45,24.47,24.44,24.46,47
20221020,17:55:00,24.45,24.46,24.43,24.44,33
20221020,17:56:00,24.43,24.44,24.42,24.43,17
20221020,17:57:00,24.43,24.43,24.42,24.43,97
20221020,17:58:00,24.43,24.46,24.42,24.46,49
20221020,17:59:00,24.46,24.48,24.45,24.48,125
20221020,18:00:00,24.48,24.49,24.47,24.49,49
20221020,18:01:00,24.48,24.49,24.43,24.46,281
20221020,18:02:00,24.45,24.45,24.44,24.45,21
20221020,18:03:00,24.45,24.46,24.44,24.46,14
20221020,18:04:00,24.46,24.46,24.44,24.46,35
20221020,18:05:00,24.45,24.46,24.44,24.44,40
20221020,18:06:00,24.43,24.45,24.42,24.45,65
20221020,18:07:00,24.45,24.45,24.43,24.44,98
20221020,18:08:00,24.43,24.43,24.4,24.41,71
20221020,18:09:00,24.41,24.41,24.4,24.41,8
20221020,18:10:00,24.4,24.4,24.38,24.39,50
20221020,18:11:00,24.4,24.41,24.39,24.41,119
20221020,18:12:00,24.41,24.42,24.39,24.42,51
20221020,18:13:00,24.43,24.43,24.42,24.43,7
20221020,18:14:00,24.43,24.43,24.4,24.4,15
20221020,18:15:00,24.41,24.41,24.39,24.39,28
20221020,18:16:00,24.39,24.41,24.39,24.41,193
20221020,18:17:00,24.41,24.41,24.4,24.41,14
20221020,18:18:00,24.4,24.43,24.4,24.42,62
20221020,18:19:00,24.41,24.43,24.41,24.42,388
20221020,18:20:00,24.42,24.42,24.39,24.39,69
20221020,18:21:00,24.38,24.38,24.35,24.35,68
20221020,18:22:00,24.34,24.38,24.33,24.36,91
20221020,18:23:00,24.36,24.36,24.34,24.35,69
20221020,18:24:00,24.35,24.37,24.33,24.37,381
20221020,18:25:00,24.37,24.39,24.35,24.39,69
20221020,18:26:00,24.38,24.38,24.37,24.38,13
20221020,18:27:00,24.38,24.41,24.37,24.41,45
20221020,18:28:00,24.41,24.42,24.37,24.38,142
20221020,18:29:00,24.38,24.39,24.38,24.39,24
