date,time,open,high,low,close,volume
20221020,17:30:00,87.65,87.69,87.6,87.69,115
20221020,17:31:00,87.7,87.74,87.68,87.73,92
20221020,17:32:00,87.73,87.79,87.72,87.77,75
20221020,17:33:00,87.77,87.82,87.69,87.7,51
20221020,17:34:00,87.71,87.76,87.71,87.73,85
20221020,17:35:00,87.75,87.83,87.73,87.83,28
20221020,17:36:00,87.84,87.85,87.81,87.85,29
20221020,17:37:00,87.86,87.98,87.85,87.97,102
20221020,17:38:00,87.97,87.98,87.94,87.95,68
20221020,17:39:00,87.93,87.97,87.93,87.97,23
20221020,17:40:00,87.96,87.99,87.95,87.98,23
20221020,17:41:00,87.98,88.02,87.98,87.98,57
20221020,17:42:00,87.96,87.99,87.96,87.96,43
20221020,17:43:00,87.98,87.99,87.96,87.96,64
20221020,17:44:00,87.96,87.96,87.93,87.95,26
20221020,17:45:00,87.95,87.95,87.91,87.91,35
20221020,17:46:00,87.92,87.92,87.87,87.9,37
20221020,17:47:00,87.88,87.91,87.86,87.88,49
20221020,17:48:00,87.88,87.93,87.88,87.91,20
20221020,17:49:00,87.92,88.03,87.92,88.02,49
20221020,17:50:00,88.01,88.03,87.98,88.03,52
20221020,17:51:00,88.01,88.06,88.0,88.06,24
20221020,17:52:00,88.06,88.1,88.05,88.09,25
20221020,17:53:00,88.09,88.13,88.06,88.13,29
20221020,17:54:00,88.11,88.11,88.03,88.05,108
20221020,17:55:00,88.03,88.03,88.01,88.03,10
20221020,17:56:00,88.03,88.04,87.95,87.96,48
20221020,17:57:00,87.96,87.97,87.85,87.86,56
20221020,17:58:00,87.86,87.89,87.83,87.88,33
20221020,17:59:00,87.87,87.87,87.85,87.86,16
20221020,18:00:00,87.85,87.87,87.81,87.81,41
20221020,18:01:00,87.81,87.81,87.59,87.65,89
20221020,18:02:00,87.63,87.63,87.59,87.6,35
20221020,18:03:00,87.59,87.62,87.55,87.56,79
20221020,18:04:00,87.55,87.55,87.45,87.52,231
20221020,18:05:00,87.52,87.52,87.45,87.48,91
20221020,18:06:00,87.48,87.48,87.42,87.44,40
20221020,18:07:00,87.43,87.43,87.3,87.3,133
20221020,18:08:00,87.29,87.3,87.21,87.29,120
20221020,18:09:00,87.28,87.31,87.26,87.3,42
20221020,18:10:00,87.3,87.36,87.27,87.36,80
20221020,18:11:00,87.36,87.42,87.35,87.42,79
20221020,18:12:00,87.41,87.42,87.39,87.4,38
20221020,18:13:00,87.41,87.48,87.38,87.46,92
20221020,18:14:00,87.46,87.47,87.44,87.47,42
20221020,18:15:00,87.45,87.54,87.45,87.54,22
20221020,18:16:00,87.53,87.57,87.52,87.57,69
20221020,18:17:00,87.58,87.62,87.58,87.58,43
20221020,18:18:00,87.58,87.61,87.56,87.61,31
20221020,18:19:00,87.61,87.61,87.57,87.57,36
20221020,18:20:00,87.56,87.56,87.41,87.41,173
20221020,18:21:00,87.42,87.45,87.34,87.36,134
20221020,18:22:00,87.35,87.55,87.34,87.55,179
20221020,18:23:00,87.55,87.55,87.47,87.51,82
20221020,18:24:00,87.48,87.55,87.48,87.52,59
20221020,18:25:00,87.5,87.56,87.5,87.51,72
20221020,18:26:00,87.52,87.52,87.47,87.48,89
20221020,18:27:00,87.48,87.48,87.41,87.44,24
20221020,18:28:00,87.43,87.45,87.4,87.41,41
20221020,18:29:00,87.43,87.49,87.42,87.47,21
20221020,18:30:00,87.45,87.46,87.4,87.4,29
20221020,18:31:00,87.42,87.47,87.41,87.47,40
20221020,18:32:00,87.46,87.48,87.44,87.45,18
20221020,18:33:00,87.46,87.49,87.46,87.47,28
20221020,18:34:00,87.47,87.47,87.39,87.39,14
20221020,18:35:00,87.38,87.4,87.33,87.39,70
20221020,18:36:00,87.36,87.36,87.31,87.33,20
20221020,18:37:00,87.31,87.33,87.29,87.32,25
20221020,18:38:00,87.32,87.32,87.2,87.2,89
20221020,18:39:00,87.19,87.28,87.19,87.25,16
20221020,18:40:00,87.27,87.29,87.26,87.28,13
20221020,18:41:00,87.3,87.35,87.28,87.34,35
20221020,18:42:00,87.36,87.37,87.33,87.33,12
20221020,18:43:00,87.34,87.34,87.28,87.28,60
20221020,18:44:00,87.3,87.31,87.25,87.28,53
