date,time,open,high,low,close,volume
20221020,17:30:00,60.58,60.61,60.56,60.59,38
20221020,17:31:00,60.61,60.65,60.59,60.64,104
20221020,17:32:00,60.64,60.72,60.6,60.71,175
20221020,17:33:00,60.72,60.77,60.7,60.71,46
20221020,17:34:00,60.73,60.75,60.72,60.73,59
20221020,17:35:00,60.73,60.77,60.72,60.74,33
20221020,17:36:00,60.73,60.74,60.68,60.71,31
20221020,17:37:00,60.72,60.79,60.71,60.78,21
20221020,17:38:00,60.79,60.8,60.77,60.77,29
20221020,17:39:00,60.78,60.8,60.76,60.77,15
20221020,17:40:00,60.75,60.76,60.71,60.71,25
20221020,17:41:00,60.71,60.71,60.68,60.7,19
20221020,17:42:00,60.69,60.69,60.63,60.63,28
20221020,17:43:00,60.64,60.66,60.64,60.65,19
20221020,17:44:00,60.65,60.66,60.64,60.65,14
20221020,17:45:00,60.65,60.65,60.58,60.6,38
20221020,17:46:00,60.61,60.61,60.58,60.58,15
20221020,17:47:00,60.57,60.58,60.54,60.54,54
20221020,17:48:00,60.55,60.56,60.53,60.53,40
20221020,17:49:00,60.53,60.54,60.53,60.53,13
20221020,17:50:00,60.53,60.54,60.52,60.52,10
20221020,17:51:00,60.51,60.51,60.5,60.5,8
20221020,17:52:00,60.5,60.5,60.48,60.49,19
20221020,17:53:00,60.47,60.48,60.46,60.47,11
20221020,17:54:00,60.46,60.48,60.46,60.48,15
20221020,17:55:00,60.45,60.45,60.42,60.44,6
20221020,17:56:00,60.44,60.45,60.41,60.41,25
20221020,17:57:00,60.41,60.41,60.38,60.38,14
20221020,17:58:00,60.39,60.44,60.37,60.44,59
20221020,17:59:00,60.45,60.45,60.42,60.45,28
20221020,18:00:00,60.46,60.5,60.45,60.5,42
20221020,18:01:00,60.49,60.5,60.37,60.39,35
20221020,18:02:00,60.38,60.4,60.38,60.4,19
20221020,18:03:00,60.4,60.42,60.38,60.38,20
20221020,18:04:00,60.38,60.41,60.35,60.4,16
20221020,18:05:00,60.4,60.4,60.39,60.4,10
20221020,18:06:00,60.39,60.4,60.37,60.4,16
20221020,18:07:00,60.41,60.41,60.39,60.41,34
20221020,18:08:00,60.4,60.4,60.35,60.4,32
20221020,18:09:00,60.41,60.42,60.4,60.4,17
20221020,18:10:00,60.37,60.4,60.36,60.4,6
20221020,18:11:00,60.4,60.44,60.4,60.43,48
20221020,18:12:00,60.44,60.45,60.41,60.45,21
20221020,18:13:00,60.45,60.47,60.44,60.47,10
20221020,18:14:00,60.45,60.45,60.4,60.4,9
20221020,18:15:00,60.42,60.44,60.41,60.42,7
20221020,18:16:00,60.43,60.44,60.42,60.44,17
20221020,18:17:00,60.44,60.45,60.44,60.44,12
